name,effect_text
Monstrous,Enemy models in LoS of the leader must take a Horror test at the start of the Leader’s activation. Fails produce a −1 Horror token. The leader may gain 1 Horror to force one additional Horror test on a model within 1 M.
Sorcerer,"Your leader can purchase two Psychic 
Powers costing 1 for free 
Recasting the same Psychic Power in a 
round costs 1 Command Point."
Executioner,"Once per round, at the end of the Leader’s activation, they may make a free Fight or Shoot action. This attack ignores penalties for range or engagement once per round."
"Unrelenting 
Advance","Once per round, at the end of the Leader’s activation, up to 2 Allies in LoS may make a free Move action. These moves cannot end in Engagement and cannot be Charges. If the move brings them within 1 M of an enemy, the move may trigger a free Horror test."
Condemn,"Use 1 action to Mark an Enemy until the end 
of the round. At the end of the Leader’s
 activation, up to 2 Allies in LoS of the marked 
enemy may make a free Fight or Shoot action 
against it. Each ally may only make one attack 
this way per round with +1 AP."
Kill Order,"Once per round, when the Leader takes an 
enemy Out of Action, one ally in LoS may 
immediately take a free Shoot or Fight action."
"Relentless 
Commander","The Leader may gain 1 Horror to remove
 Exhausted and act again (max once per
 round)."
Priority Target,"Once per round, choose one enemy model.
Allies gain +1 to hit against that model
 until the end of the round."
"Bodyguard 
Protocol","When an ally within 1 Move is hit, the Leader may take the hit instead. If the leader takes the hit, the attacking model gains 1 Horror token."
Mind Leash,"Once per round, when an enemy fails a Horror test in LoS, the Leader may force that model to Move 1. If it moves adjacent to another ally, it takes 1 damage."
